citation_key,file,in_build,line,section,semantic_role,in_allowed_57,evidence_card,usage_condition_class,evidence_card_supported,context
apgsk2021,sections/conclusions.tex,yes,63,Conclusions,APGSK/adaptive-parameter family baseline,PASS,evidence_cards/apgsk2021.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),the runner-up~\cite{apgsk2021} --- \dtgsk{} places fourth; the family
omidvar2014dg,sections/conclusions.tex,yes,187,Conclusions,differential grouping and decomposition comparison/future work,PASS,evidence_cards/omidvar2014dg.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),line~\cite{omidvar2014dg} remains future work.
awad2016problem,sections/introduction.tex,yes,20,Introduction,"CEC2017 suite definition: function set, search bounds, dimensions, run budget, and the 1e-8 success floor",PASS,evidence_cards/awad2016problem.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"formalize~\cite{awad2016problem,das2011cec2011}."
das2011cec2011,sections/introduction.tex,yes,20,Introduction,verified CEC2011 definition role,PASS,evidence_cards/das2011cec2011.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"formalize~\cite{awad2016problem,das2011cec2011}."
hussain2019metaheuristic,sections/introduction.tex,yes,25,Introduction,field framing and taxonomy only as supported,PASS,evidence_cards/hussain2019metaheuristic.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"exist~\cite{hussain2019metaheuristic,del2019bio}."
del2019bio,sections/introduction.tex,yes,25,Introduction,field framing and taxonomy only as supported,PASS,evidence_cards/del2019bio.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"exist~\cite{hussain2019metaheuristic,del2019bio}."
mohamed2020gaining,sections/introduction.tex,yes,42,Introduction,"GSK origin, inherited mechanics, thematic comparison",PASS,evidence_cards/mohamed2020gaining.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),for the whole run~\cite{mohamed2020gaining}.
mohamed2020agsk,sections/introduction.tex,yes,45,Introduction,AGSK method and family baseline,PASS,evidence_cards/mohamed2020agsk.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"pool updated by success history~\cite{mohamed2020agsk}, and \apgsk{}"
apgsk2021,sections/introduction.tex,yes,46,Introduction,APGSK/adaptive-parameter family baseline,PASS,evidence_cards/apgsk2021.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),extends those parameter-adaptation pools~\cite{apgsk2021}. \fdbagsk{}
fdbagsk2023,sections/introduction.tex,yes,49,Introduction,FDB-AGSK and fitness-distance-balance family baseline,PASS,evidence_cards/fdbagsk2023.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),predecessor~\cite{fdbagsk2023}. \egsk{} adds dual adaptive knowledge
jawad2024egsk,sections/introduction.tex,yes,51,Introduction,eGSK family baseline and verified mechanism scope,PASS,evidence_cards/jawad2024egsk.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),sequential-quadratic-programming solver~\cite{jawad2024egsk}. \atmals{}
alfadli2025atmals,sections/introduction.tex,yes,54,Introduction,ATMALS-GSK and memory/local-search family baseline,PASS,evidence_cards/alfadli2025atmals.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),acknowledge~\cite{alfadli2025atmals}.
jawad2024egsk,sections/performance.tex,yes,48,Experimental Setup,eGSK family baseline and verified mechanism scope,PASS,evidence_cards/jawad2024egsk.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"polish~\cite{jawad2024egsk}, realized as MATLAB fmincon in the family's"
awad2016problem,sections/performance.tex,yes,61,Experimental Setup,"CEC2017 suite definition: function set, search bounds, dimensions, run budget, and the 1e-8 success floor",PASS,evidence_cards/awad2016problem.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),suite is the CEC2017 bound-constrained suite~\cite{awad2016problem}:
das2011cec2011,sections/performance.tex,yes,69,Experimental Setup,verified CEC2011 definition role,PASS,evidence_cards/das2011cec2011.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"The real-world suite is CEC2011~\cite{das2011cec2011}, which supplies"
liang2013cec2013,sections/performance.tex,yes,83,Experimental Setup,verified CEC2013 definition role,PASS,evidence_cards/liang2013cec2013.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"Finally, CEC2013~\cite{liang2013cec2013} is reported as a second"
yue2020cec2020,sections/performance.tex,yes,90,Experimental Setup,verified CEC2020 definition role,PASS,evidence_cards/yue2020cec2020.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),registration. The CEC2020 bound-constrained suite~\cite{yue2020cec2020}
li2013lsgo,sections/performance.tex,yes,98,Experimental Setup,verified CEC2013-LSGO definition role,PASS,evidence_cards/li2013lsgo.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),The CEC2013LSGO large-scale suite~\cite{li2013lsgo} --- distinct from
wilcoxon1945individual,sections/performance.tex,yes,278,Experimental Setup,signed-rank test,PASS,evidence_cards/wilcoxon1945individual.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),a two-sided Wilcoxon signed-rank test~\cite{wilcoxon1945individual}
holm1979simple,sections/performance.tex,yes,281,Experimental Setup,family-wise multiplicity control,PASS,evidence_cards/holm1979simple.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),Holm step-down correction~\cite{holm1979simple} across the
vargha2000critique,sections/performance.tex,yes,305,Experimental Setup,A12 effect size,PASS,evidence_cards/vargha2000critique.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),unpaired Vargha--Delaney $A_{12}$~\cite{vargha2000critique} ($A_{12} > 0.5$
friedman1937use,sections/performance.tex,yes,332,Experimental Setup,Friedman/rank/post-hoc practice,PASS,evidence_cards/friedman1937use.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),test~\cite{friedman1937use} with the Iman--Davenport correction~\cite{demsar2006statistical} is
demsar2006statistical,sections/performance.tex,yes,332,Experimental Setup,Friedman/rank/post-hoc practice,PASS,evidence_cards/demsar2006statistical.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),test~\cite{friedman1937use} with the Iman--Davenport correction~\cite{demsar2006statistical} is
demsar2006statistical,sections/performance.tex,yes,336,Experimental Setup,Friedman/rank/post-hoc practice,PASS,evidence_cards/demsar2006statistical.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),analysis~\cite{demsar2006statistical} follow. It is rendered as mean-rank plots
efron1993introduction,sections/performance.tex,yes,339,Experimental Setup,BCa bootstrap,PASS,evidence_cards/efron1993introduction.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),and accelerated (BCa) bootstrap intervals~\cite{efron1993introduction}
demsar2006statistical,sections/performance.tex,yes,355,Experimental Setup,Friedman/rank/post-hoc practice,PASS,evidence_cards/demsar2006statistical.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"$q_{0.05}(k = 7) = 2.949$ of~\cite{demsar2006statistical}, not a \textsc{SciPy}"
wilcoxon1945individual,sections/performance.tex,yes,466,Statistical Analysis,signed-rank test,PASS,evidence_cards/wilcoxon1945individual.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),Comparisons use the Wilcoxon signed-rank test~\cite{wilcoxon1945individual} on
holm1979simple,sections/performance.tex,yes,468,Statistical Analysis,family-wise multiplicity control,PASS,evidence_cards/holm1979simple.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),correction~\cite{holm1979simple} applied within each dimension over the family
friedman1937use,sections/performance.tex,yes,469,Statistical Analysis,Friedman/rank/post-hoc practice,PASS,evidence_cards/friedman1937use.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),of six comparators; the tie-corrected Friedman test~\cite{friedman1937use}
demsar2006statistical,sections/performance.tex,yes,471,Statistical Analysis,Friedman/rank/post-hoc practice,PASS,evidence_cards/demsar2006statistical.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),separation~\cite{demsar2006statistical}. In every case the null hypothesis is
holm1979simple,sections/performance.tex,yes,480,Statistical Analysis,family-wise multiplicity control,PASS,evidence_cards/holm1979simple.md,optional-role-scoped,yes - role-consistent per citation_role_map (manual spot-check 2026-07-11),"$p$~\cite{holm1979simple,demsar2006statistical}. Second, win/tie/loss counts are"
