"id","severity","reviewer","location","issue","fix_class","suggested_fix","resolution","status"
"R1-1","major","R1 (scientific)","performance.tex Discussion; introduction.tex C1/C2; IN-02, AB-01..03","Named central mechanism (ISM + eigenframe polish) rests on a causal contribution deferred to a Phase-12 supplement; main text can only say results are 'consistent with' design intent, so no performance payoff is demonstrated for the mechanism the paper is named after.","analysis","Promote a minimal ISM/polish ablation into the main text, or reframe the contribution as methodology/reproducibility-first; flag for change-control, do not alter frozen numbers/deferral.","Ablation promotion requires new analysis (S6 is a Phase-12 placeholder; AB-01/02/03 DEFERRED) = change-control on immutable evidence. Paper already defers all component causality (IN-02) and uses only 'consistent with' wording; added a co-gating hedge (performance.tex 'By dimension': the D>=50 tier activates several subsystems together, so behaviour is associated with the bundled tier, not an isolated component). No current overstatement remains.","DEFERRED (change-control; Phase 12)"
"R1-2 / R6-T07","major","R1 (scientific); R6 (domain)","related_work.tex sec:rel:structure; proposed_algorithm.tex sec:alg:ism; MT-08/MT-09/BG-04","Mechanistic distinction of ISM from CMA-ES/covariance learning overstated; the accepted-move interaction matrix is covariance-like and the eigenframe polish eigendecomposes it. 'Not a sampling covariance' risks reading as a distinction without a difference. Loaded terms ('interaction-structure memory','linkage-aware') for a co-movement statistic.","method_description","State that G is covariance-like and the polish performs a covariance-eigenbasis operation; locate novelty in the signed/decaying/accepted-move-only accumulation and discrete exploitation; add a 'co-movement over coordinate indices, not recovered objective linkage' caveat at first use.","FIXED. proposed_algorithm.tex sec:alg:ism adds: G is a signed, decaying second-moment (co-movement) statistic over coordinate indices, covariance-like in construction; the terminal polish operates on its eigenbasis (a covariance-eigenbasis operation); the novelty is not that the learned object is of a fundamentally new type but the accepted-move-only/signed/decaying accumulation and discrete exploitation; G records which coordinate indices co-move, not a recovered map of true variable interactions. related_work.tex mirrored. No numbers touched.","FIXED"
"R1-3","minor","R1 (scientific)","main.tex Title; CL-02/LM-05","Title 'High-Dimensional' overstates relative to the D=100 evidence ceiling and the explicit no-LSGO disclaimer; the field reserves 'high-dimensional' for n~1000.","editorial","Soften/qualify the title (avoid 'High-Dimensional' or scope it to the tested dimension range).","DEFERRED (change-control; author decision). 'High-dimensional' for D<=100 is standard usage in the DE/GSK/CEC literature; the body already bounds it (LM-05: explicit D=100 ceiling, no LSGO claim). The title is bound across the cover letter (CL-02), PDF metadata, and running head, so a change ripples beyond a localized edit and is the paper's identity - not safely altered unilaterally on a frozen artifact. Suggested softened alternative recorded for author sign-off.","DEFERRED (change-control)"
"R1-4","minor","R1 (scientific)","main.tex abstract; RS-01 NARROWED","Abstract presents '2.48 of 7' without the 'descriptive across-dimension aggregate, no cross-dimension test' qualifier the body and claims matrix require.","prose","Add a brief qualifier that the overall rank is an unweighted across-dimension descriptive mean with no cross-dimension omnibus test.","FIXED. main.tex abstract now reads '(2.48 of 7) --- an unweighted across-dimension mean, no cross-dimension test --- placing first at three of four dimensions.' Matches RS-01 permitted wording; number unchanged; both % BIND lines preserved; abstract re-verified at 199 words (<=200 MDPI limit).","FIXED"
"R1-5 / R6-T04","major","R1 (scientific); R6 (domain)","performance.tex tab:panel; conclusions.tex Limitations; LM-03; comparability_audit.md","No external, non-GSK baseline (L-SHADE-class, CMA-ES, jSO, structure-learning/differential grouping); the 7-member panel is entirely within-family and all six comparators are authored/co-authored by the second author, so the comparison is self-referential and uncalibrated against the state of the art.","missing_evidence","Add at least one external L-SHADE/CMA-ES anchor under the locked protocol, or state explicitly in Limitations that no external/structure-learning baseline is evaluated (not merely future work). Flag; do not alter frozen numbers/algorithm.","PROSE PART FIXED; EVIDENCE PART DEFERRED. conclusions.tex adds a Seventh limitation: the comparison is entirely within the GSK family (six comparators authored/co-authored by the second author per the COI); no external non-GSK (L-SHADE/CMA-ES) or structure-learning (differential grouping) baseline calibrates the family against the broader state of the art; standings interpretable only within the panel. Adding a real external baseline requires new runs (reopening the frozen evidence) = change-control.","DEFERRED (evidence); prose FIXED"
"R1-6","major","R1 (scientific)","performance.tex sec:exp:settings; LM-04; comparability_audit.md Sec.4","The only strong baseline eGSK is a SciPy-SLSQP re-port substituting the published fmincon solver, and DT-GSK does not statistically separate from it at any CEC2017 dimension (losing head-to-heads; CEC2011 Holm loss). The comparison to the published eGSK is not established.","method_description","State prominently (not only in LM-04) that the strong-baseline comparison is against a re-port and that DT-GSK does not statistically separate from it; ensure no headline implies an eGSK advantage.","FIXED (verified already-compliant). Shipped paper already discloses the SLSQP-vs-fmincon port prominently in sec:exp:settings (Evidence discipline), the panel roster ('eGSK (Python port; SLSQP substitutes ... fmincon (disclosed))'), runtime (provenance-qualified), Limitations (Fourth), and supplement S5; non-separation is stated in the abstract, the CEC2017 stats ('never Nemenyi-separable'), and Limitations (First, p_Holm=0.199). No headline implies an eGSK advantage. Confirmed; no edit needed.","FIXED (already-compliant)"
"R1-7","minor","R1 (scientific)","conclusions.tex Limitations; comparability_audit.md; main.tex conflictsofinterest","Two disclosed threats absent from main-text limitations: the single-host/single-environment reproducibility threat and the self-authored-baseline concern (only in the COI statement, not framed as a scientific threat).","prose","Add both as explicit main-text limitations/threats-to-validity.","FIXED. conclusions.tex adds Sixth (single host/environment: no independently-verified second-environment cell; run-time NumPy/SciPy behind eGSK's SLSQP not captured; single-thread byte-stability precondition) and Seventh (self-authored within-family panel framed as a scientific threat + self-init fairness asymmetry).","FIXED"
"R2-1","major","R2 (statistics)","performance.tex Statistical protocol; phase6_run_analysis.py L333/359/1879/1946","Wilcoxon protocol does not state that zero-differences (|delta|<1e-8) are discarded (zero_method='wilcox') nor that p-values are normal-approximation-with-continuity; both are consequential on low-D where many functions solve to 0.","method_description","Add one sentence: zeros discarded before ranking (zero_method='wilcox'); p-values use the normal approximation with continuity correction (scipy.stats); optionally reference effective post-zero n. Do NOT recompute any p-value.","FIXED. performance.tex Statistical protocol now states zeros under the tie rule are discarded before ranking (zero_method='wilcox') and p-values use the normal approximation with continuity correction (scipy.stats); effective post-zero n are in the released R+/R- workbooks. Reconciled to the frozen pipeline; no p-value changed.","FIXED"
"R2-2","major","R2 (statistics)","performance.tex Statistical protocol + Table 8 caption; phase6_run_analysis.py L2233-2241; RS-08/T03","Table 8 A12 is computed across the 29 per-function means (one A12 per comparator-dimension), a different object from the run-level A12/Cliff/BCa workbook; VD 0.56/0.64/0.71 thresholds (sample-level) applied to a function-mean summary; basis undisclosed.","method_description","State that the tabulated A12 is over the 29 per-function means (same unit as the across-function Wilcoxon), distinct from the run-level A12 workbook; note the VD thresholds are descriptive labels here. Numbers unchanged.","FIXED. performance.tex protocol adds that the tabulated A12 is computed over the 29 per-function mean errors (same unit as the across-function Wilcoxon), distinct from the run-level A12 in the effect-size workbook, and the 0.56/0.64/0.71 thresholds are descriptive labels on the function-mean summary. Table 8 caption amended accordingly. Reconciled to the frozen pipeline; numbers unchanged.","FIXED"
"R2-3","minor","R2 (statistics)","performance.tex sec:exp:stats + Discussion","The '17 of 24 significant wins' tally aggregates four independent within-dimension Holm families (size 6 each); FWER is controlled only within each dimension, so the 24-cell count is descriptive, not jointly FWER-controlled - not stated at the point of the tally.","prose","State at the tally that the 24-cell count aggregates four within-dimension Holm families and is a descriptive count, not a single FWER-controlled result.","FIXED. performance.tex primary tally now notes the Holm correction is applied within each dimension (family size 6), so the 24-cell count aggregates four independent within-dimension families and is a descriptive tally, not a single jointly FWER-controlled result; the Discussion tally carries a matching parenthetical.","FIXED"
