ticket_id,review_stage,reviewer_role,severity,priority,confidence,issue_type,manuscript_location,claim_id_or_artifact_id,concise_issue,exact_evidence_or_observation,root_cause,scientific_or_editorial_justification,impact_on_validity_or_acceptance,required_correction,acceptable_alternatives,additional_evidence_needed,dependencies,expected_improvement,post_revision_verification,status,source_seat_tickets,se_adjudication
SE-001,19 (consolidated 3/9/10/13/14/15/18),SE,Major,P1,CONFIRMED,statistics,"papers/sections/performance.tex:211-213, :221-226, :361-372, :405-411, :422-427; PDF pp.24,27; Table 14 (papers/tables/T15.tex)",RS-08 / TAB-T15 / T15.tex,"The prose names, explains and quotes an A12 column that Table 14 does not contain, and the statistical-protocol paragraph designates two different statistics as 'the tabulated effect size' within itself.","SE re-read the source: performance.tex:211-213 'the tabulated effect size is the matched-pairs rank-biserial correlation r=(R+-R-)/(R++R-)'; :214-216 'A12 ... is retained as a descriptive companion in the released workbooks'; :221 'The tabulated A12 is computed over the 29 per-function mean errors'. head -12 papers/tables/T15.tex shows the column set p / p_Holm / + / ~ / - / r / Dec. - there is no A12 column. performance.tex:362,365 'A12 effect sizes ... The A12 column is computed over the 29 per-function means'; :409 'A12 of 0.490, 0.505, and 0.472'; :426 'A12 = 0.712'. Four seats independently recomputed those four values as correct (0.49049/0.50535/0.47206/0.71225) but found no row for them in papers/analysis/rel-2026-07-20-67d9345f9/primary_stats/statistical_results.csv - they exist only in staging results/paper_tables/T15.csv.",Change M-027 migrated Table 14's effect-size column from A12 to matched-pairs rank-biserial r but updated only the caption and two protocol sentences; six prose sentences and four quoted values were left describing the pre-migration table.,Section 10.7 requires a machine-readable row for every reported statistic and requires the frozen plan to name which effect size is reported. A paragraph that calls two different statistics 'the tabulated' one is internally inconsistent on the face of the printed page.,"No reported number is wrong; every quoted value recomputes. But a reviewer directed to 'the A12 column' finds none, and four numbers in the results narrative have no printed or released source. This is the single highest-probability reviewer catch in the package and reads as a camera-ready control failure.","Decide the referent once. Recommended: keep Table 14 as r, delete the four A12 quotations or restate them as r values read off the table, and collapse the duplicated definition at :227-231 into the single statement at :209-213. If the A12 numbers are retained, add them as a released column in the analysis bundle and print them in the table.",Restore an A12 column to T15.tex alongside r and emit it into primary_stats/statistical_results.csv (regeneration of an exhibit from the existing release - no rerun).,None. Both statistics are derivable from the frozen release.,Blocks SE-007 remediation (same paragraph); blocks final PDF/DOCX rebuild.,Removes the top rejection risk; restores Gate C/J/M consistency for the effect-size chain.,grep -c 'A_{12}' papers/sections/performance.tex must equal the number of A12 objects actually printed in T15.tex; validate_evidence_bindings extended to compare every quoted statistic against a released CSV column; re-read PDF pp.24 and 27. | CLOSED 2026-07-23: remediated across the thirteen freeze_statement passes / PAPER_REVIEW_PROMPT.md layers 1.5.0-D..H and verified by the twelve-gate sweep (check_manifest 15/15); see papers/governance/main_manuscript_freeze_manifest.json freeze_statement.,resolved,S3-T01; S3-T01a; S9-02; R2-S10-01; S13-03; S14-001; W15-01; S18-R4-01; S18-R4-02,UPHELD as reported by seven seats. SE independently re-read performance.tex and T15.tex and confirms both the missing column and the intra-paragraph self-contradiction. Severity Major (not Critical): no number is wrong and the thesis is untouched.
SE-002,19 (consolidated 7-12/8),SE,Major,P1,CONFIRMED,experimental-design,papers/sections/performance.tex:169-170 (PDF p.19),MT-11 / benchmark_protocol_audit_part2.md P2-A4,"'All seven optimizers are therefore held to exactly the same MaxFES charge' is false: 1,845 released runs stop early on a target-error criterion that only AGSK and APGSK implement.","SE counted the termination column over every per_run.csv in benchmarks/cec_reference_results: target_error_reached appears in exactly four cells - cec2017/agsk 404, cec2017/apgsk 338, cec2013/agsk 558, cec2013/apgsk 545 = 1,845 runs. Minimum charged nfes on such a run is 44,497 against a 1,000,000 MaxFES (cec2017 agsk). Every other optimizer and all of CEC2011 terminate max_evaluations at exactly MaxFES. The project's own benchmark_protocol_audit_part2.md:144 documents the asymmetry and mandated two disclosures; neither reaches the manuscript.",The sentence was written to describe the budget-crossing semantics (R-05) and over-generalised from 'the counted charge never exceeds MaxFES' to 'every optimizer is charged the same amount'.,Section 10.4 requires the exact MaxFES and stopping policy be verified rather than assumed; a fairness assertion that the shipped evidence contradicts is a Gate H defect regardless of whether it changes an endpoint.,"Endpoint-neutral: the stop fires at the 1e-8 reporting floor, so an early-stopped run's recorded error is already at the floor and no reported statistic moves. But the claim is falsifiable by one sort of the shipped per_run.csv, and it is a fairness claim - the worst kind to be caught overstating.","Replace with the accurate statement: no optimizer is charged more than MaxFES; AGSK and APGSK additionally terminate when the 1e-8 target error is reached (1,845 of 75,250 released runs), which cannot advantage them because the recorded error is already at the reporting floor.","A footnote carrying the same content, with the count and the floor argument.",None - the count is in the release.,Pairs with SE-009 and SE-008 in a single 'protocol disclosure' paragraph revision.,"Converts a falsifiable overstatement into a disclosed, self-defeating asymmetry; strengthens rather than weakens the fairness case.",Re-run the termination census and confirm the printed count matches; confirm the sentence appears in PDF and DOCX. | CLOSED 2026-07-23: remediated across the thirteen freeze_statement passes / PAPER_REVIEW_PROMPT.md layers 1.5.0-D..H and verified by the twelve-gate sweep (check_manifest 15/15); see papers/governance/main_manuscript_freeze_manifest.json freeze_statement.,resolved,E-06; S8-01,"UPHELD. SE independently reproduced the exact figure 1,845 and the 44,497 minimum. Two seats converged on the same number from different directions."
SE-003,19 (consolidated 0-1/7-12/18),SE,Major,P1,CONFIRMED,reproducibility,papers/governance/main_manuscript_freeze_manifest.json:5; papers/governance/submission_package_manifest.json:8,freeze envelope / check_manifest.py,"The freeze manifest's declared anchor commit does not contain the bytes it pins, and the manifest is not reproducible from the repository at any commit - it validates only against this working tree.","SE hashed all 15 pinned files three ways (git cat-file against each ref vs the working tree). Working tree 15/15 (this is why check_manifest reports 15/15). Declared anchor abd2fa2f25c8: 7/15. HEAD 45248eb31: 10/15. proposed_algorithm.tex, claims_evidence_matrix.csv, citation_usage_map.csv, artifact_binding.csv and references.bib match the working tree but neither committed blob - core.autocrlf=true with no .gitattributes means the manifest hashed CRLF worktree bytes while the blobs are LF. performance.tex, DT-GSK.pdf and DT-GSK.docx additionally changed at HEAD after the anchor was stamped; the manifest's own freeze_statement admits 'Amended 2026-07-22'.","Two independent causes: (a) the 2026-07-22 amendment re-hashed three rows without re-stamping anchor_commit and without a follow-up stamping commit (as dbc824782 did for the previous freeze); (b) no .gitattributes, so the byte-level identity of five text artifacts is machine-local.",Section 10.1/10.3 make the freeze envelope the traceability spine of the whole package. A manifest that passes only on the author's disk cannot discharge the determinism contract.,"No scientific content is affected - content is identical everywhere and all five binary deliverables reproduce exactly. But the package's central credibility asset ('15/15') is not independently checkable, and an editor or reviewer cloning the repo gets 10/15. Gate A and Gate L both depend on it.","Add a .gitattributes pinning the text artifacts (or hash normalised content), re-stamp anchor_commit to the commit that actually contains the frozen bytes, and land a stamping commit so anchor == the commit holding the pinned bytes. Re-run check_manifest from a clean `git archive` extraction, not the working tree.",Record content hashes over line-ending-normalised bytes and state the normalisation in the manifest.,None.,Must complete after all text edits (last work item before final validation).,Makes 15/15 an independently reproducible fact; closes Gate A traceability and the Gate L byte-for-byte tier.,git archive <new-anchor> | extract to a clean dir | run check_manifest.py -> must be 15/15 outside the author's working tree. | CLOSED 2026-07-23: remediated across the thirteen freeze_statement passes / PAPER_REVIEW_PROMPT.md layers 1.5.0-D..H and verified by the twelve-gate sweep (check_manifest 15/15); see papers/governance/main_manuscript_freeze_manifest.json freeze_statement.,resolved,S01-001; E-01; E-02; S18-EIC-02,"UPHELD and SHARPENED. SE's measurement supersedes both seats' figures: anchor 7/15 (s0-1 said 11/15, measured on normalised content), HEAD 10/15 (matches s7-12's git-archive result exactly). The two seats were describing the same defect through two different lenses; both are right in direction."
SE-004,19 (consolidated 0-1/7-12),SE,Major,P1,CONFIRMED,reproducibility,papers/governance/reproducibility_manifest.json; papers/governance/runbook.md:100; Data Availability statement,REPRODUCIBILITY_PACKAGE (section 10.1 binding),The determinism-contract record is two evidence releases stale and the runbook the Data Availability statement points at does not reproduce the paper.,"SE read papers/governance/reproducibility_manifest.json: anchor_commit = 262fc16c91fbe5608a1a0b0c5df3cbcd009edc21, i.e. release rel-2026-07-10-262fc16c9 - two supersessions behind the shipped rel-2026-07-20-67d9345f9. s7-12 additionally verified the recorded PDF/DOCX hashes (503692de/993fe08a) differ from the shipped ones (34362769/1ad8c3b2), _ablation file count 1032 vs actual 1297, and double_rebuild dated 2026-07-12. runbook.md:100 names the same superseded release; its 'complete data-to-PDF sequence' omits phase6_run_analysis.py (the sole producer of the analysis bundle), build_docx.py, check_manifest and every validate_* gate, routes statistics through staging gsk_family.cli.stats, documents ablation at --runs 25 against a 51-run release, and lists two generators whose input root results/dt-gsk/ does not exist.",The manifest and runbook were written at Phase 12 against the first release and were never re-pointed through the 07-16 and 07-20 re-mints; no validator reads either file.,Section 10.3 requires reproducibility_manifest.json to agree with the release checksums; section 10.1 binds it as the REPRODUCIBILITY_PACKAGE. Gate L's minimum criterion is that central results and artifacts can be regenerated.,"This is the one finding that would defeat a reviewer who actually tries to reproduce the paper. The evidence itself is intact (SE-confirmed 3,403/3,403 release checksums by s7-12), but the published route to it is wrong.","Re-point reproducibility_manifest.json to rel-2026-07-20-67d9345f9 with the shipped artifact hashes and a current double-rebuild record; rewrite runbook.md so the stated sequence actually produces the shipped PDF/DOCX from the release, including phase6_run_analysis.py, build_docx.py, check_manifest and the validators; delete or fix the two dead generators.",None - the Data Availability statement cites the runbook by name.,"One clean end-to-end execution of the corrected runbook (uses the existing release; no new runs, no new release).",Depends on SE-003 (final anchor) for the commit it records.,Converts Gate L from FAIL to PASS; makes the availability claim operational.,Execute the corrected runbook end to end from the release into a clean tree; diff the produced PDF against papers/DT-GSK.pdf; assert the manifest's recorded hashes equal the shipped ones. | CLOSED 2026-07-23: remediated across the thirteen freeze_statement passes / PAPER_REVIEW_PROMPT.md layers 1.5.0-D..H and verified by the twelve-gate sweep (check_manifest 15/15); see papers/governance/main_manuscript_freeze_manifest.json freeze_statement.,resolved,S01-002; E-03; E-04; S9-15; R2-S10-22; R2-S10-24; R2-S10-25,UPHELD. SE independently confirmed the stale anchor_commit in reproducibility_manifest.json. This is the most consequential reproducibility defect in the package.
SE-005,"19 (consolidated 13, escalated by SE)",SE,Major,P1,CONFIRMED,exhibit,"papers/figures/convergence/*.pdf - all 25 files, including main_cec2017_D30.pdf (Figure 6, performance.tex:704) and main_cec2017_D100.pdf (Figure 7, performance.tex:723)",FIG-CONV / generate_full_convergence.py:150-153,The shared legend overruns the canvas in every family-overlay convergence figure: the proposed method's own label runs off the right edge and the first entry's marker is cut off the left edge.,"SE measured glyph boxes with pdfplumber on all 25 convergence PDFs. Every one has off-canvas legend text. On all_funcs_D100_a.pdf (page width 443.88 pt) the legend row is: 'GSK' x0=-1.75 (clipped left); AGSK 57.3; APGSK 122.5; FDB-AGSK 193.1; ATMALS-GSK 279.5; eGSK 377.8; 'DT-GSK' x0=442.45 x1=476.24 - i.e. only 1.43 pt of the DT-GSK label is on the page. Identical pattern in main_cec2017_D30.pdf and main_cec2017_D100.pdf. Cause: generate_full_convergence.py:150-151 fig.legend(..., ncol=7, fontsize=9) exceeds the canvas width and line 153 saves with exact_size=True (bbox_inches=None), so matplotlib does not expand the bounding box.","A seven-entry single-row legend at 9 pt is wider than the fixed figure canvas, combined with a fixed-size save that suppresses bbox expansion. Regression against the project's own N-011 legibility note.",Section 10.8 requires every panel to carry one identifiable curve per algorithm; section 10.17.7 requires exhibits be legible at final size. A reader of Figures 6 and 7 cannot identify which curve is DT-GSK.,Two main-text figures and 23 supplement figures are unreadable in the respect that matters most - identifying the proposed method. This is the most visible production defect in the package and sits on p.28 of the submitted PDF.,"Regenerate all 25 figures with a two-row legend (ncol=4) or a smaller font, and save with bbox_inches='tight' (or widen the canvas); re-render and re-measure that no glyph box falls outside the media box.","Place the legend inside the top-left panel's axes, or use a figure-level legend above the grid.","None - figure regeneration reads the same frozen checkpoint logs; no rerun, no new release.",Triggers DOCX raster regeneration and a freeze re-mint (SE-003).,Clears the largest Gate M blocker.,Automated: for each figure PDF assert min(x0) >= 0 and max(x1) <= page width over all extracted words. Add this assertion to validate_build_hygiene.py. | CLOSED 2026-07-23: remediated across the thirteen freeze_statement passes / PAPER_REVIEW_PROMPT.md layers 1.5.0-D..H and verified by the twelve-gate sweep (check_manifest 15/15); see papers/governance/main_manuscript_freeze_manifest.json freeze_statement.,resolved,S13-02,"UPHELD and ESCALATED. SE initially doubted the seat's claim that DT-GSK loses its label, because all seven labels are present in the PDF text layer; positional measurement proved the seat right and the scope wider than reported - 25 of 25 figures, and crucially BOTH main-text figures. Single-seat finding, now the best-evidenced exhibit defect in the review."
SE-006,19 (consolidated 17/18),SE,Major,P1,CONFIRMED,production,"papers/supplementary.pdf p.48, Table A19; papers/supplementary.log:1647",TAB-A19,Supplementary Table A19 runs off the paper edge; its Notes column is truncated in the PDF but present in the DOCX - a real content divergence the parity gate scored as 0 FAIL.,"SE confirmed the supplement log contains exactly one overfull box: 'Overfull \hbox (218.9852pt too wide) in paragraph at lines 19--68' (supplementary.log:1647). Extracting p.48 of supplementary.pdf (media box 595.276 x 841.89) the table text ends mid-word: 'ARGP window / threshold 30 / 0.02 (0.010 at D>=50), warmu' - the Notes column is cut. s17 measured the text bounding box right edge at 598.8 pt against a 595.276 pt page and reports all seven Notes cells lost in the PDF while present in the DOCX.",Table A19 gained columns/content after the N-013 width fix and no gate re-checks overfull boxes in the supplement.,Section 10.12 requires PDF and Word to agree on all scientific content. Losing a column of parameter notes from the PDF while Word retains it is a dual-format scientific inconsistency (section 11.1).,Parameter documentation a reimplementer needs is missing from the authoritative artifact. Also a straightforward desk-level production complaint.,"Re-typeset Table A19 (landscape, reduced font, column re-flow, or split into two tables) so the log reports zero overfull boxes and every Notes cell renders inside the text block.",Move the per-subsystem detail to a longtable across two pages.,None.,Supplement rebuild; freeze re-mint (SE-003).,Restores PDF/DOCX content parity and clears a Gate M/P blocker.,"grep -c 'Overfull' papers/supplementary.log == 0; re-extract p.48 and assert the seven Notes cells are present; extend validate_cross_format_parity to compare cell text, not just table presence. | CLOSED 2026-07-23: remediated across the thirteen freeze_statement passes / PAPER_REVIEW_PROMPT.md layers 1.5.0-D..H and verified by the twelve-gate sweep (check_manifest 15/15); see papers/governance/main_manuscript_freeze_manifest.json freeze_statement.",resolved,S17-02; S18-R5-01,"UPHELD. SE independently reproduced both the single overfull box and the mid-word truncation on p.48. Two seats found it independently; no gate covers it, which is itself the finding."
SE-007,19 (consolidated 3/9/10/14/18),SE,Major,P1,CONFIRMED,statistics,papers/sections/performance.tex Section 4.1 and 4.2 omnibus sentences; CEC2013 caption; PDF pp.20-30,AN-OMNI-* register rows,The manuscript declares the tie-corrected Iman-Davenport statistic but prints the uncorrected p-values for CEC2017 and CEC2013 while printing the corrected pair for CEC2011.,"Five seats independently recomputed from the frozen release. Printed: CEC2017 bound p<=2.6e-8; CEC2013 3.3e-7 / 2.2e-3 / 9.2e-6 - all from the uncorrected column. Corrected values: CEC2017 bound 1.2e-9 (s3/s9 agree; s14 reports max 1.16e-9), CEC2013 5.3e-8 / 1.1e-3 (s14: 1.09e-3) / 2.9e-6. CEC2011 F=4.27, p=6.0e-4 is the corrected pair. The CEC2013 caption bound '<=2.3e-3' matches neither column.",M-026 introduced the tie correction into statistics.py and into the methods declaration but the results prose continued quoting the pre-correction bundle; the CEC2011 sentence was updated and the other two were not.,Section 10.7 requires the frozen plan's declared statistic to be the one reported and a machine-readable row for every reported statistic.,"No inference changes - every omnibus is significant under both columns by orders of magnitude, and every downstream Holm decision is unaffected. But the manuscript states one test and prints another, inconsistently across suites, and directs readers to CSVs that disagree with the page.","Print the corrected column for all three suites, consistent with the Section 4.1 declaration; fix the CEC2013 caption bound to match.","Declare and report the uncorrected statistic uniformly, and state why - but the corrected form is the preregistered one, so this is second-best.",None.,Same paragraph as SE-001; do together.,Closes an inconsistency any statistically literate reviewer will check against the supplied CSVs.,Assert every printed omnibus p equals the corrected column of the released statistical_results.csv to the printed precision; add the assertion to validate_evidence_bindings.py. | CLOSED 2026-07-23: remediated across the thirteen freeze_statement passes / PAPER_REVIEW_PROMPT.md layers 1.5.0-D..H and verified by the twelve-gate sweep (check_manifest 15/15); see papers/governance/main_manuscript_freeze_manifest.json freeze_statement.,resolved,S3-T03; S9-03; R2-S10-02; S14-002; S18-R4-03,"UPHELD. Five seats, five independent recomputations, consistent values. Major on Gate I because the declared and reported statistics differ; not Critical because no decision moves."
SE-008,19 (consolidated 8/10-11),SE,Major,P1,CONFIRMED,experimental-design,Table 3 (tab:panel) and its provenance note; papers/sections/performance.tex panel description,tab:panel / comparability_audit.md:28,"The panel table credits AGSK/APGSK/FDB-AGSK with their originating papers' 'published reference constants', but all six comparators actually ran a flat NP=100 at every dimension while DT-GSK ran NP_init=5D - and the comparator population size appears nowhere in the paper.","SE read the frozen run_config.json for each optimizer under benchmarks/cec_reference_results/cec2017/: gsk pop_size=100; agsk NP_init=100; apgsk NP_init=100; fdb-agsk NP_init=100; atmals-gsk pop_size=100; egsk pop_size=100; dt-gsk carries no fixed pop_size (5D by profile, i.e. 500 at D=100). The originating papers specify NP=20D (AGSK), 200D (APGSK) and 40D (FDB-AGSK). s8 traced the real provenance to jawad2024egsk Tab.3, which the table does not cite; the paper's own related work credits APGSK with 'a much larger initial population' and the harness then disables it.",The panel table documents intended provenance rather than executed configuration; the harness normalises every comparator to its own default.,Section 10.4 requires comparator implementation provenance be verified rather than assumed; section 10.13 lists unfair comparator conditions as a hard rejection risk.,"Two distinct problems. (i) The provenance sentence is false as written - a reviewer who opens the released configs sees it immediately. (ii) A 5x population advantage to the proposed method at D=100, exactly where the headline lives, is an unexcluded competing explanation for the central result that the paper never names or rebuts. The result is not thereby invalid - a dimension-tiered schedule is literally contribution C2 - but the paper currently cannot answer the question.","State the executed configuration for all seven optimizers in Table 3 (comparators NP=100 at every dimension; DT-GSK NP_init=5D), cite the actual constant source, and add one paragraph in the limitations acknowledging that the population schedule is part of the proposed method and that no published-NP sensitivity study was run.","Run a published-NP sensitivity cell (MX-02) - recommended for Q1, not required for submission.",None for the disclosure fix. A sensitivity study would be new evidence (classified recommended_for_q1).,Group with SE-002 and SE-009 in one protocol-disclosure revision.,Removes a false provenance statement and pre-empts the single most likely substantive reviewer objection.,Assert the NP values printed in Table 3 equal those in every released run_config.json; confirm the limitations paragraph exists in PDF and DOCX. | CLOSED 2026-07-23: remediated across the thirteen freeze_statement passes / PAPER_REVIEW_PROMPT.md layers 1.5.0-D..H and verified by the twelve-gate sweep (check_manifest 15/15); see papers/governance/main_manuscript_freeze_manifest.json freeze_statement.,resolved,S8-02; R2-S11-03; MX-02,"UPHELD, merged from two seats that framed one root cause differently (s8: false provenance; s10-11: unexcluded confound). SE verified all seven configs directly. Rejecting s10-11's implicit framing that this invalidates the headline: it does not - it is a disclosure and rebuttal gap."
SE-009,19 (consolidated 8/10-11/18),SE,Major,P1,CONFIRMED,evidence,"papers/sections/performance.tex:155-158 ('one code base, one protocol and one harness'), :179 ('Runs are budget-exact and repeat-identical')",RT-001 closure record / Decision 7,"The project's own RT-001 closure records that a comparator re-execution produced 3,772 differing scientific-column rows across producer commits; the manuscript states an unqualified cross-panel reproducibility property.","RT-001 (closed_verified 2026-07-21, Decision 7 Option 3): a 51-run re-execution of the comparators failed the determinism gate with 3,772 of 35,496 scientific-column diffs, concentrated in ATMALS-GSK (~31%) and eGSK (~29%). s8 additionally established the panel was produced at seven producer commits over ten days. None of this reaches the reader; performance.tex:179 says 'Runs are budget-exact and repeat-identical' in a paragraph quantified over all seven optimizers, and :155-158 offers 'one code base, one protocol and one harness'.","The determinism claim was written for DT-GSK (where it holds, single-threaded, and is separately verified) and was never scoped when the comparator finding landed.","Section 10.7's recovery-versus-comparability disposition requires the manuscript to draw the line correctly between what is deterministically re-derivable and what is not. Section 11.1 lists a central reproducibility failure as an absolute blocker; this is not that, but an unscoped claim over it is.",No reported number changes - the shipped release is the frozen one and is internally consistent. The risk is that a reviewer attempting a comparator re-run cannot reproduce it and finds the paper claimed they could.,"Scope the determinism sentence to DT-GSK in its declared single-threaded environment (as the cover letter now correctly does after R-09) and add a one-sentence disclosure that comparator re-execution across producer commits was verified NOT to be bit-reproducible, with the frozen release as the single citable state.","Move the disclosure to the supplement's determinism subsection with a main-text pointer, provided the main-text sentence is scoped.",None - the measurement exists in the RT-001 record.,Group with SE-002 and SE-008.,Aligns the strongest integrity asset of the paper with what was actually measured.,grep the determinism sentences and confirm each is scoped; confirm the disclosure renders in PDF and DOCX. | CLOSED 2026-07-23: remediated across the thirteen freeze_statement passes / PAPER_REVIEW_PROMPT.md layers 1.5.0-D..H and verified by the twelve-gate sweep (check_manifest 15/15); see papers/governance/main_manuscript_freeze_manifest.json freeze_statement.,resolved,S8-04; R2-S10-05; S18-R5-02,"UPHELD. Three seats converged on the same number (3,772) from the same closure record. Major, not Critical: the frozen evidence stands and is checksummed; the defect is an unscoped claim."
SE-010,19 (consolidated 16),SE,Major,P1,CONFIRMED,ethics,"papers/main.tex:265-271 (Use of Generative Artificial Intelligence), :280-283 (Acknowledgments); papers/sections/performance.tex:189-190; papers/cover_letter.tex final paragraph",AG-0007,"The GenAI declaration asserts that the implementation was produced independently of any AI system, which the authors' own public commit metadata contradicts.","SE read main.tex:265-271 verbatim: 'All scientific content---the algorithm design, its implementation, the experimental protocol, and every reported number---was produced by the authors' own deterministic analysis pipeline from a version-locked evidence archive, independently of any AI system'. SE counted git trailers over the project subtree: 231 of 384 commits carry 'Co-Authored-By: Claude'. Commit af7efc534 - 'fix(dt-gsk): correct final-polish incumbent (C006) and interaction-graph numba import (M038)', which modifies _dt_core.py and forced the 51-run regeneration behind the shipped release rel-2026-07-20-67d9345f9 - carries 'Co-Authored-By: Claude Opus 4.8 <noreply@anthropic.com>', the same model the paper discloses as a language tool. s16 additionally found a second undisclosed model (Claude Fable 5) in 27 commits, 23 under papers/.","The declaration was drafted to be maximally reassuring and asserts an absolute exclusion ('independently of any AI system', 'its implementation') broader than what the authors can support, while the accurate and sufficient claims - no AI-designed experiment, no AI-produced datum, no AI-computed statistic, no AI-generated claim or conclusion - are already in the same sentence.",Section 1.5.4 places the presence of the GenAI disclosure out of scope but explicitly directs the review to 'review wording and placement'. MDPI's GenAI policy requires an accurate declaration naming tool and version. Gate O requires truthful declarations.,"No scientific claim, number, or result is affected, and this is NOT a misconduct finding - a commit trailer is a tool convention, not evidence that the AI authored the science. But the sentence as written is falsifiable in one click from the repository the Data Availability statement points at, and an inaccurate integrity declaration is the worst possible thing to be caught on. It is also the cheapest fix in the package.","Narrow the exclusion to what is true and verifiable: state that AI assistance was used for language editing, drafting of descriptive prose, and software-engineering support during development, and that no AI system designed an experiment, produced or altered any datum, computed any statistic, or generated any scientific claim, result or conclusion; that every reported number was produced by the authors' deterministic pipeline from the version-locked archive. Name every model version used (Claude Opus 4.8 and Claude Fable 5) per MDPI's [tool name, version] requirement. Apply identically in main.tex, the Acknowledgments, performance.tex:189-190 and the cover letter.",None that keep the absolute wording.,Author confirmation of the full tool/version list actually used.,Must be applied to all four loci at once; validate_document_consistency currently gates only the cover letter.,"Converts a falsifiable absolute into an accurate, still-strong declaration; closes the Gate O blocker.","Confirm the revised wording renders in PDF and DOCX at all four loci; extend validate_document_consistency.py:192-202 to cover the three manuscript loci, not the cover letter alone. | CLOSED 2026-07-23: remediated across the thirteen freeze_statement passes / PAPER_REVIEW_PROMPT.md layers 1.5.0-D..H and verified by the twelve-gate sweep (check_manifest 15/15); see papers/governance/main_manuscript_freeze_manifest.json freeze_statement.",resolved,S16-AI-01; S16-AI-02; S16-AI-04; S16-AI-07,"UPHELD but DOWNGRADED from Critical/P0 to Major/P1. The seat's evidence is exact and SE reproduced it (231/384; af7efc534 trailer verified). Downgraded because no scientific claim, number or result is affected and no misconduct is established - a Claude Code commit trailer stamps every commit made through the tool. It remains a hard Gate O blocker and must be fixed before submission. S16-AI-02 merged as the same defect family."
