# DT-GSK exhibit plan - Phase 4 task 8 (claim-freeze input to Gate 4). Date: 2026-07-10.
# Sources of record: phase_04/thesis.md, phase_04/contribution_matrix.md (C1-C4), phase_03/equation_registry.csv,
# phase_03/algorithm_pseudocode.md, PAPER_BUILD_PROMPT.md Sections 6.7/8.4/8.5/8.6 (CR-0001), papers/governance/comparability_audit.md.
# Reconciles the provisional placeholder registry of contribution_matrix.md (T01-T07, F01-F03, SA01-SA03 -> X-ABL-01..03).
# NUMERIC DISCIPLINE: every empirical cell in every exhibit is a placeholder <TXX:field>/<FXX:field> until Phase 6 binds it
# from the read-only evidence release rel-2026-07-10-262fc16c9 (benchmarks/cec_reference_results/). Staging results/ is never citable.
#
# == PRE-REGISTRATION (binding for Phases 5-7) ==
# P1 PANEL COMPOSITION (7 algorithms, fixed legend order per Section 6.7): gsk, agsk, apgsk, fdb-agsk, atmals-gsk, egsk, dt-gsk.
#    All comparative wording is scoped "within the GSK family panel"; never field-wide. eGSK panel data provenance per comparability_audit.md.
# P2 CONVERGENCE AGGREGATION (CR-0001, Section 6.7): per-checkpoint MEAN error across all runs per algorithm, computed from
#    gen_logs/CheckpointErrors_<opt>_F<f>_D<d>.csv in release rel-2026-07-10-262fc16c9; identical basis for all 7 curves in every panel;
#    representative-run fallback (curves/Figure_F<f>_D<d>_Run#<r>.csv) ONLY when an algorithm's checkpoint logs are absent from the
#    release, caption-disclosed; a missing algorithm is caption- and register-disclosed, never fabricated/interpolated/silently dropped;
#    display-only log floor and zero handling documented at render time; no smoothing, no extrapolation past termination.
# P3 FIXED ALGORITHM -> COLOR/LINESTYLE MAP (identical in every panel, main + supplement; Okabe-Ito colorblind-safe; grayscale-distinguishable):
#    gsk        = #999999, dotted
#    agsk       = #E69F00, dashed
#    apgsk      = #56B4E9, dash-dot
#    fdb-agsk   = #009E73, densely-dashed
#    atmals-gsk = #CC79A7, long-dash
#    egsk       = #0072B2, dash-dot-dot
#    dt-gsk    = #000000, solid (1.5x linewidth)
#    One shared legend per grid; consistent algorithm ordering (P1) in all legends and tables.
# P4 DIMENSION SET PER SUITE: CEC2017 D={10,30,50,100} (29 functions, F1+F3-F30, F2 excluded per protocol; 51 runs; MaxFES=10^4*D).
#    CEC2011 native problem dimensions (22 problems; 25 runs; MaxFES=150000). CEC2013 tables D={10,30,50} (28 functions; 51 runs);
#    CEC2013 convergence grids D=30 ONLY unless the Section 8.5 dimension-filename tooling task is completed and invocations recorded.
#    CEC2013 is the "second comparison suite" - never "independent"/"holdout"/"validation".
# P5 MAIN-TEXT CONVERGENCE SELECTION RULE (pre-registered BEFORE viewing any rendered figure; summary-statistic-derived; CR-0003/Section 6.7):
#    Featured dimensions: D30 (known-weak tier - permitted Section 5.1 rank statement: #2 behind eGSK, to be re-derived in Phase 6 from
#    rel-2026-07-10-262fc16c9) and D100 (tier where SGSM/polish subsystems are active). For each featured dimension select exactly 4
#    CEC2017 functions, one per suite category (unimodal F1/F3; simple multimodal F4-F10; hybrid F11-F20; composition F21-F30).
#    Strata computed in Phase 6 from release summary CSVs only, before any curve is rendered or viewed:
#      difficulty  = tercile of the panel-median final error over all 7 algorithms within the dimension (easy/moderate/hard);
#      DT-GSK standing = per-function mean-final-error rank within the panel (strong = rank 1-2, comparable = 3-5, weak = 6-7).
#    Fill priority across the 4 category picks per dimension: (hard,weak) > (hard,comparable) > (moderate,comparable) > (easy,strong) >
#    any remaining stratum; ties broken by lowest function number. Constraint: the 8 selected panels jointly include >=1 hard case and
#    >=1 DT-GSK-weak case (Section 6.7 unfavorable-case requirement). Known limitation (recorded): repository figures were seen during
#    the Phase 2 asset audit; the rule is nevertheless purely summary-statistic-driven.
# P6 ABLATION: X-ABL-* rows are RESERVED, destination supplement-phase12, DEFERRED_TO_PHASE_12_SUPPLEMENT_ONLY. No ablation exhibit,
#    subsection, or component-causality claim may enter the main manuscript (thesis.md Section 7).
# P7 GENERATORS: commands below to be verified against the Section 8.5 runbook + strict source guard; any generator reading results/
#    as empirical input must be changed/wrapped to read the immutable release. The three convergence generators
#    (generate_full_convergence.py, generate_cec2011_convergence.py, generate_cec2013_convergence.py) REQUIRE the CR-0001 seven-curve
#    family-overlay extension before Phase 7 rendering (reference implementation pattern: papers/scripts/generate_review_pack.py,
#    including log-missing-never-fabricate behavior); Phase 7 validation asserts exactly seven series per panel or a disclosed absence
#    note. generate_trace_figures.py / generate_adaptive_params_panel.py run ONLY against a validated promoted diagnostic (GenLog)
#    release, else marked unavailable in evidence_gap_register.md. Supplement assembled by papers/scripts/build_supplementary.py.
# P8 LABELS: the label column below seeds Section 9.1 cross-reference label tracking; per-panel convergence labels follow the pattern
#    fig:conv-f<f>-d<d> inside the grid labels given below.
exhibit_id,kind,title,research_question,source,generator,destination,claim_ids,label
"A1","algorithm","DT-GSK top-level pseudocode (canonical, loop steps 1-11 with dimension gating)","Is the method fully specified and reimplementable from the paper alone?","phase_03/algorithm_pseudocode.md (frozen; matches _dt_core.dt_gsk_optimize)","authored LaTeX algorithm environment (no script; transcribed from phase_03)","main","C1;C2;C3;C4","alg:dt-gsk"
"E1a","equation","Junior knowledge-source indices","Method definition (inherited GSK operator; no novelty claimed)","phase_03/equation_registry.csv row E1a [mohamed2020gaining]","authored LaTeX (no script)","main","none (inherited baseline)","eq:junior-idx"
"E1b","equation","Senior knowledge-source indices","Method definition (inherited GSK operator; no novelty claimed)","phase_03/equation_registry.csv row E1b [mohamed2020gaining]","authored LaTeX (no script)","main","none (inherited baseline)","eq:senior-idx"
"E2","equation","Junior dimension schedule (Kexp)","Method definition (inherited; junior->senior transition)","phase_03/equation_registry.csv row E2 [mohamed2020gaining]","authored LaTeX (no script)","main","none (inherited baseline)","eq:kexp-schedule"
"E3","equation","Gaining-sharing update","Method definition (inherited base operator; never claimed new)","phase_03/equation_registry.csv row E3 [mohamed2020gaining]","authored LaTeX (no script)","main","none (inherited baseline)","eq:gsk-update"
"E4","equation","Crossover mask: per-coordinate KR or linkage block mask","How does the learned interaction structure enter trial construction?","phase_03/equation_registry.csv row E4 (modified; SGSM-fed blocks at D>=50)","authored LaTeX (no script)","main","C1","eq:kr-mask"
"E5","equation","Nonlinear population reduction (NLPSR, tier-floored)","Method definition (modified APGSK NLPSR schedule; never claimed new)","phase_03/equation_registry.csv row E5 [apgsk2021; tanabe2014improving]","authored LaTeX (no script)","main","C3","eq:nlpsr"
"E6","equation","ACE bandit credit + probability update","How is operator-level (not parameter-level) adaptation controlled?","phase_03/equation_registry.csv row E6 (modified; EMA credit + probability floor)","authored LaTeX (no script)","main","C3","eq:ace-update"
"E7","equation","Midpoint bound repair","Method definition (inherited from L-SHADE)","phase_03/equation_registry.csv row E7 [tanabe2014improving]","authored LaTeX (no script)","main","none (inherited baseline)","eq:midpoint-repair"
"E8","equation","Strictly-greedy selection","Method definition (inherited; acceptance signal source for ISM/ACE)","phase_03/equation_registry.csv row E8 [mohamed2020gaining]","authored LaTeX (no script)","main","none (inherited baseline)","eq:greedy-accept"
"E9","equation","Budget-safe escape perturbation (BSE)","How is stagnation escaped without ever overshooting MaxFES?","phase_03/equation_registry.csv row E9 (modified; JADE/SHADE archive lineage; hard-capped)","authored LaTeX (no script)","main","C3","eq:bse-cauchy"
"E10","equation","SGSM interaction-graph EMA update","How is interaction structure learned from accepted moves at no extra objective evaluations?","phase_03/equation_registry.csv row E10 (original; lambda=0.95; confidence-gated)","authored LaTeX (no script)","main","C1","eq:sgsm-graph"
"E11","equation","Eigenframe compass polish","How is the learned eigenbasis exploited deterministically in the final budget slice?","phase_03/equation_registry.csv row E11 (original; RNG-free; strict budget accounting)","authored LaTeX (no script)","main","C2","eq:eigen-polish"
"E12","equation","RNG substream child-seeding (13 streams)","What guarantees byte-stable, toggle-independent reproducibility?","phase_03/equation_registry.csv row E12 (original; _dt_rng.py)","authored LaTeX (no script)","main","C4","eq:rng-substreams"
"T-NOTATION","table","Notation table","Are all symbols defined once, consistently, before use?","phase_03/notation_table.md (frozen)","authored LaTeX (no script; transcribed from phase_03)","main","C1;C2;C3;C4","tab:notation"
"T-PARAMS","table","Tier-resolved pub-profile parameter table","What is the single frozen configuration (no per-suite tuning)?","phase_03/parameter_table.md + algorithm_freeze_manifest.json (hash-frozen pub profile)","papers/scripts/generate_parametric_tables.py (verify vs Section 8.5 runbook; else authored from phase_03)","main","C3;C4","tab:parameters"
"F-ARCH","figure-conceptual","DT-GSK architecture / pipeline diagram","How do the 8 subsystems, dimension gating, and the global-best/deep-stall loop compose around the unchanged GSK core?","phase_04/conceptual_figure_specs.md spec (a); phase_03/algorithm_pseudocode.md (authored; NO empirical source)","papers/scripts/generate_flowchart.py (authored spec input only; no result values)","main","C1;C2;C3","tab:architecture"
"F-SGSM-MECH","figure-conceptual","SGSM mechanism illustration (accepted move -> graph -> linkage/LS/polish exploitation)","By what mechanism do accepted moves become exploitable structure at zero extra objective evaluations?","phase_04/conceptual_figure_specs.md spec (b) (authored; NO empirical source)","authored vector art per conceptual_figure_specs.md (no result values)","main","C1;C2","tab:sgsm-mechanism"
"F-GATING","figure-conceptual","Dimension-tier gating chart (subsystems x D10/D30/D50/D100)","Which subsystems are active at which pub-profile tier?","phase_04/conceptual_figure_specs.md spec (c); cell values bound to phase_03/parameter_table.md (authored; NO empirical source)","authored vector art per conceptual_figure_specs.md (no result values)","main","C3","tab:dim-gating"
